Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,18.15,20.56,52.41,76.16,32.22,59.27,75.47,61.62,46.84,45.99,43.91,55.17
1962,59.65,22.43,26.39,21.39,90.70,68.43,45.05,73.03,68.35,67.76,27.14,57.74
1963,95.47,20.83,34.37,21.44,108.69,62.66,83.95,64.42,72.76,50.54,25.53,26.72
1964,11.83,41.12,24.90,77.29,46.92,75.18,123.78,74.32,102.52,96.66,48.62,59.76
1965,8.67,3.03,16.97,53.51,59.88,27.53,74.73,88.28,51.25,30.15,74.08,44.55
1966,26.26,49.29,52.12,30.53,39.93,44.03,82.81,70.67,78.11,75.01,54.64,109.89
1967,18.35,15.53,20.44,10.47,36.11,30.89,47.53,74.90,39.70,23.02,17.91,33.53
1968,31.58,8.26,34.40,67.15,119.51,72.86,62.09,94.08,31.78,74.97,58.11,54.30
1969,20.50,74.26,75.50,41.23,78.10,32.22,69.56,55.26,72.23,34.13,60.35,43.82
1970,68.27,12.66,86.57,92.29,68.50,52.46,47.93,110.87,64.23,31.28,81.98,71.26
1971,59.08,54.02,30.73,79.74,80.35,58.26,38.48,54.98,65.34,73.40,99.93,54.76
1972,48.94,72.68,17.04,47.34,33.80,26.16,59.33,65.91,28.63,35.49,46.50,3.63
1973,49.33,140.15,55.76,56.28,65.55,79.49,56.02,92.91,77.36,113.55,61.25,50.72
1974,83.90,38.82,40.02,117.23,107.27,43.80,114.80,96.61,87.72,95.70,49.44,30.21
1975,30.78,16.89,49.25,31.73,61.30,47.75,73.81,92.30,98.23,152.77,42.51,62.81
1976,25.28,30.28,29.20,21.35,20.54,55.28,31.07,75.77,78.46,86.39,73.75,43.17
1977,36.71,41.82,38.12,39.25,66.88,92.56,59.13,33.01,45.31,29.18,49.11,16.68
1978,40.14,17.95,58.07,60.69,85.66,92.79,96.69,71.49,82.49,53.41,85.45,64.01
1979,49.24,24.01,33.43,45.17,63.02,32.78,32.57,84.48,97.67,76.21,45.20,13.35
1980,46.31,5.42,19.63,68.35,48.05,66.39,67.57,62.58,53.37,82.76,38.36,54.47
1981,43.34,27.40,38.43,13.27,84.09,102.89,112.71,118.21,34.19,51.12,47.55,26.66
1982,46.67,6.06,60.93,30.49,44.78,40.33,25.11,16.79,43.41,25.23,11.33,26.04
1983,21.66,6.65,86.53,61.82,99.75,51.80,81.54,79.88,99.54,65.27,69.00,33.12
1984,78.04,22.09,59.48,39.93,23.55,32.05,93.43,107.04,83.28,36.18,43.90,30.12
1985,19.31,7.78,37.14,54.44,53.59,55.87,50.45,107.72,45.20,81.36,67.51,103.75
1986,23.72,13.91,6.41,54.27,72.53,37.40,114.08,64.94,61.15,106.07,36.37,70.15
1987,39.81,42.79,37.14,29.36,85.89,73.52,76.05,47.43,36.95,51.08,37.96,66.18
1988,44.96,17.15,33.49,32.23,102.80,81.24,70.28,49.71,77.16,41.25,97.41,68.07
1989,28.63,16.58,74.45,72.52,80.17,82.95,79.27,80.69,56.65,87.31,32.34,31.68
1990,10.27,61.36,26.67,76.13,34.43,61.97,93.68,95.59,55.01,65.46,31.58,26.40
