Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1963,-0.17,-1.17,-0.23,-1.23,0.39,0.12,-0.41,-0.24,0.23,1.87,-0.13,0.65
1964,-1.21,-1.44,-0.90,-0.06,-0.78,0.17,-0.04,0.07,-0.24,-1.47,-0.28,-2.85
1965,-2.11,0.10,-0.80,-2.24,-0.07,-0.48,-0.96,0.21,0.91,1.47,-0.89,1.68
1966,0.81,-1.40,-0.30,-1.14,-0.77,-1.28,-0.86,-0.86,0.04,-0.43,0.40,-0.77
1967,-1.05,0.72,-0.63,0.71,-0.11,0.97,0.07,-0.62,-0.24,0.88,-0.18,-1.43
1968,1.48,2.13,1.51,1.43,-0.93,-0.48,-0.91,-0.62,-0.90,-0.27,-1.34,-0.91
1969,1.35,0.59,-0.45,-0.27,-1.10,-0.89,0.62,0.39,-2.14,0.40,-0.50,-1.77
1970,-1.08,0.10,-1.23,0.34,-1.25,0.11,0.18,-0.82,-1.68,-0.63,-0.59,-0.05
1971,-0.01,0.80,1.61,1.41,-0.40,-0.10,-0.37,-0.77,-0.53,-1.04,-1.37,-0.47
1972,-0.43,0.20,-1.32,-0.14,0.11,-0.57,0.27,0.82,1.13,0.59,-0.23,1.31
1973,1.79,0.19,-1.60,0.36,-0.14,-0.70,0.43,0.05,0.83,0.59,-0.75,1.11
1974,1.48,-0.43,2.36,0.10,0.81,0.18,0.38,0.00,-1.00,-0.63,-1.67,-1.21
1975,-2.11,0.60,-1.16,-0.48,1.32,0.02,2.09,-0.04,1.20,-0.31,0.88,1.51
1976,-0.51,1.08,0.04,-0.18,-0.83,0.34,-0.15,-0.36,-0.39,-1.42,-0.93,-0.33
1977,-0.19,0.78,-0.60,-1.87,-0.36,-0.11,-0.96,1.40,-1.01,1.28,0.05,0.32
1978,-0.63,-0.73,0.83,-0.23,1.17,0.12,-0.23,-0.94,-0.02,0.14,0.06,-0.99
1979,2.41,0.40,0.38,-1.17,-0.80,1.02,-0.07,-0.36,0.00,-0.25,0.46,0.55
1980,-1.63,-0.54,-0.81,1.24,1.18,0.06,0.33,0.73,1.07,0.49,1.24,1.87
1981,3.21,1.63,-1.45,0.80,0.51,0.17,0.36,-0.21,1.53,0.53,-0.03,-0.01
1982,1.92,0.46,1.01,-0.05,0.07,-1.43,-1.29,1.62,-0.22,-0.25,2.26,0.79
1983,-1.09,2.73,1.34,-1.62,0.40,-0.30,-0.39,0.81,0.03,-0.11,-0.15,0.95
1984,-1.47,-0.66,-1.72,-0.63,-0.06,0.20,-0.41,0.59,-0.94,0.00,0.73,-1.05
1985,-0.86,-0.78,1.67,0.82,0.20,-0.20,-0.17,0.16,-0.60,0.52,0.12,-0.68
1986,-1.99,-1.16,1.35,-0.10,0.27,-0.41,-0.17,0.08,-0.02,-1.42,-0.63,-1.55
1987,-2.15,-0.63,-2.00,0.68,0.33,0.74,-0.25,0.28,0.96,-0.63,1.15,-0.18
1988,1.71,-1.12,0.79,1.20,1.79,1.01,1.26,0.64,1.18,0.56,-0.17,1.25
1989,-0.36,0.20,1.36,0.93,1.01,-0.50,-0.20,-1.09,0.02,-0.73,1.08,0.67
1990,0.70,-0.85,1.04,0.96,0.32,0.05,1.02,-0.41,0.49,0.59,0.95,1.37
1991,1.01,-0.22,-0.40,-0.52,0.09,2.44,0.55,-0.22,-0.08,1.36,-0.56,-0.52
1992,-2.01,-0.74,1.26,0.47,-0.12,0.07,0.46,-0.88,-1.77,0.33,-1.96,0.38
1993,0.41,-0.26,-0.49,0.93,0.22,0.09,1.14,1.41,0.59,-0.62,-0.72,-0.84
1994,-1.46,0.22,-1.26,0.12,0.38,0.74,0.59,-1.00,-0.97,0.34,-0.16,2.18
1995,1.10,0.25,-1.36,-2.18,-0.08,0.42,-0.44,0.86,-0.45,-0.60,-0.13,-1.79
1996,-0.50,-1.96,-0.39,-1.72,0.29,0.57,0.27,0.46,-0.01,0.40,-1.41,-1.39
1997,0.98,2.98,-1.38,-0.29,0.08,0.32,-0.71,-0.55,-0.12,0.40,1.36,0.65
1998,1.09,-0.35,0.18,-1.08,0.13,-0.16,-0.64,0.73,1.29,-0.61,-0.57,0.93
1999,2.50,0.85,-0.30,-1.57,0.70,0.49,1.17,0.79,1.53,1.16,-1.26,0.10
2000,-0.79,2.75,1.07,0.49,-0.42,0.19,0.49,-0.13,0.66,-0.36,2.40,0.95
2001,3.30,2.41,-0.38,-0.09,0.13,1.32,0.82,0.77,1.96,-0.81,-1.03,-2.01
2002,-0.98,-1.39,-0.05,1.50,0.55,0.79,0.94,0.07,0.83,0.43,1.47,1.06
2003,1.20,0.77,-0.58,0.62,0.61,0.95,0.62,-0.51,-0.63,-1.97,0.84,1.95
2004,-1.66,0.68,-0.36,0.48,-0.61,0.73,-0.02,0.58,0.00,0.97,0.36,0.39
2005,0.38,-2.07,-1.04,2.36,0.39,1.36,1.21,0.68,0.27,0.65,1.19,1.02
2006,2.84,-0.34,1.29,-1.89,-1.08,-0.96,0.66,0.49,1.27,0.90,1.02,0.38
2007,1.59,2.36,0.83,1.39,2.19,-0.70,0.09,1.19,0.50,0.92,2.54,1.61
2008,2.03,-1.23,1.88,-0.67,-0.01,1.87,0.08,-0.82,0.73,1.40,0.30,-0.88
2009,1.52,1.06,0.14,-0.22,0.39,0.70,0.92,1.44,0.85,0.11,4.59,1.24
2010,1.32,1.75,0.87,1.39,0.22,0.08,0.05,-0.64,-0.68,0.39,0.86,-0.04
2011,1.17,-0.11,-0.57,-0.32,-0.76,0.61,0.66,1.59,0.94,0.95,2.07,0.46
2012,1.51,0.23,-0.75,0.53,-0.36,-0.22,0.57,-0.02,0.80,0.12,1.82,1.11
2013,1.34,1.68,1.85,0.74,0.28,0.75,1.38,1.22,2.45,0.15,-0.37,1.04
2014,2.37,1.24,0.74,0.64,1.72,1.29,0.66,-0.16,1.14,1.94,1.55,0.91
2015,0.60,1.75,-1.02,-0.73,0.13,-0.02,-0.33,-0.19,0.23,4.08,1.68,3.02
2016,1.55,0.71,2.40,1.64,1.55,0.33,1.18,0.53,0.23,-0.52,-0.09,1.36
2017,1.53,-0.20,2.78,0.55,-0.15,-0.30,0.50,-0.23,0.44,1.32,3.12,1.44
2018,2.79,1.09,0.72,2.20,0.52,0.03,0.80,0.10,-0.20,1.69,0.86,3.06
2019,3.97,0.59,1.23,1.23,0.67,0.60,1.36,-0.44,0.00,1.27,-0.12,2.21
2020,0.94,0.06,-0.09,-0.39,-0.78,0.01,0.27,-0.04,,,,
